"","id_id","litter_dry","plot_indicator","range_class","range_score"
"455","maz_po_EA1",288.63,"B3","Excellent",87.1
"456","maz_po_EA1",233.21,"B4","Excellent",84.6
"457","maz_po_EA1",234.36,"B5","Excellent",80.8
"458","maz_po_EA1",191.51,"B6","Good",79.9
"459","maz_po_EA1",264.04,"B7","Excellent",84.2
"460","maz_po_EA1",199.44,"B8","Good",76
"461","maz_po_EA1",206.33,"C1","Good",76.64
"462","maz_po_EA1",239.23,"C2","Excellent",81.5
"463","maz_po_EA1",241.48,"C3","Excellent",84.4
"464","maz_po_EA1",175.86,"C4","Excellent",81.2
"465","maz_po_EA1",221.14,"C5","Excellent",82.7
"466","maz_po_EA1",184.95,"C6","Good",78.5
"467","maz_po_EA1",247.51,"C7","Excellent",88.1
"468","maz_po_EA1",190.93,"C8","Good",78.1
"469","maz_po_EA1",223.59,"D1","Excellent",81.1
"470","maz_po_EA1",215.52,"D2","Excellent",80
"471","maz_po_EA1",227.4,"D3","Excellent",82.1
"472","maz_po_EA1",193.96,"D4","Excellent",81.4
"473","maz_po_EA1",206.03,"D5","Excellent",81.3
"474","maz_po_EA1",167.25,"D6","Good",78.3
"475","maz_po_EA1",206.61,"D7","Excellent",82
"476","maz_po_EA1",267.18,"D8","Excellent",85.8
"477","maz_po_EA1",175.2,"E1","Good",70.07
"478","maz_po_EA1",410.31,"E2","Excellent",93.5
"479","maz_po_EA1",214.52,"E3","Excellent",80
"480","maz_po_EA1",191.66,"E4","Excellent",84.2
"481","maz_po_EA1",237.5,"E5","Excellent",84.9
"482","maz_po_EA1",214.65,"E6","Excellent",82.2
"483","maz_po_EA1",222.4,"E7","Excellent",81.7
"484","maz_po_EA1",193.79,"E8","Excellent",83
"485","maz_po_EA1",247.34,"F1","Excellent",80.98
"486","maz_po_EA1",185.93,"F2","Good",79.6
"487","maz_po_EA1",218.9,"F3","Excellent",83.3
"488","maz_po_EA1",127.04,"F4","Good",72.7
"489","maz_po_EA1",229,"F5","Excellent",85
"490","maz_po_EA1",206.78,"F6","Excellent",81.1
"491","maz_po_EA1",235.49,"F7","Excellent",84.1
"492","maz_po_EA1",148.6,"F8","Good",70.3
"493","maz_po_EA1",175.18,"G1","Good",79.9
